codes,description,co,co_nwa,co_sib,co_ptw,co_sing,persons,records
22420,"Flint, MI",0.16221306937277036,0.1447194325830061,0.10534116551997282,0.07734592966089811,0.04303725051649209,1.027628460799053e-4,116
22500,"Florence, SC",0.2828529305684056,0.12961497781468334,0.07820646945470898,0.07820646945470898,0.15294038399403706,4.5264807563923237e-5,67
22520,"Florence-Muscle Shoals, AL (Note the CBSA code change between 2003 and 2013)",0.396300085553396,0.396300085553396,0.19998760946977204,0.17701697019614196,0.14897668386175583,3.7706641897997396e-5,81
22660,"Fort Collins, CO",0.20013912330205721,0.20013912330205721,0.04290228166454519,0,0.07460189597166149,5.4756576827302193e-5,60
22900,"Fort Smith, AR-OK",0.3112266005098287,0.28254387122435143,0.14273441463854894,0.07984102054915024,0.041375587811051016,3.442333901651604e-5,110
23060,"Fort Wayne, IN",0.3177206093159007,0.22644524358813764,0.12724662391282443,0.1135935373122954,0.04795031368649878,1.1507613922622489e-4,134
23420,"Fresno, CA",0.39327462629679794,0.24708075915947794,0.19768442046883813,0.18376544035229225,0.07421662516037665,1.646471530707777e-4,182
23540,"Gainesville, FL",0.25512889208009815,0.2249334404171883,0.2249334404171883,0.18868547716843043,0.022047307655100015,1.1241483040791294e-4,123
23580,"Gainesville, GA",0.14678200010187395,0.14678200010187395,0.14678200010187395,0.044718918155494634,0,2.6479623448806322e-5,33
24020,"Glen Falls, NY",0,0,0,0,0,6.35813812182481e-5,70
24140,"Goldsboro, NC",0.30977096704981427,0.2983103197130664,0.2983103197130664,0.15820334433240296,0.08515166394951346,8.692163752337474e-5,86
24340,"Grand Rapids-Wyoming, MI",0.2965211786333093,0.1972564407586666,0.10604784692889237,0.029463785656966435,0.06868878912735568,2.2350410141536633e-4,257
24540,"Greeley, CO",0.62559060518506,0.5504124694972251,0.4192637349275405,0.16236526657173286,0.38703377656031346,5.419657588291604e-5,57
24580,"Green Bay, WI",0.5884609189493474,0.5141546791821467,0.37196580847091787,0.11387831716223017,0.15552527273294894,7.28453998767642e-5,79
24660,"Greensboro-High Point, NC",0.39655207998651504,0.33907978356817564,0.3026341069590322,0.22606225426333748,0.13363763864742603,1.4711643552996008e-4,150
24780,"Greenville, NC",0.45604517960363017,0.2990532565920303,0.2990532565920303,0.25364860156122904,0.2297079163370267,8.761364904044846e-5,96
24860,"Greenville, SC",0.16691183074148222,0.13482776346082684,0.10325355025382232,0.09527785131915223,0.033611739850070106,1.712111545622438e-4,277
25180,"Hagerstown-Martinsburg, MD-WV",0.1960431017041471,0.16869192273435243,0.13883139950040876,0.1300085707164676,0.027351178969794658,2.1921686015849605e-5,131
25260,"Hanford-Corcoran, CA",0.3705894958183862,0.2422317143139301,0.2422317143139301,0.20077948909734428,0.16926911081906693,8.76232761581416e-5,97
25420,"Harrisburg-Carlisle, PA",0.15908800651701352,0.09173370243177263,0.08751980107879036,0.050716609420619466,0.021219193615055393,1.8914126923494292e-4,207
25540,"Hartford-West Hartford-East Hartford, CT",0.24603004232688053,0.198318400400316,0.12427289654745308,0.08956522105446155,0.06817954820245863,3.594673431017287e-4,502
25860,"Hickory-Morganton-Lenoir, NC",0.5315187052972057,0.3452545628104742,0.28085215515526646,0.28085215515526646,0,5.9215529463524024e-5,64
25940,"Hilton Head Island-Bluffton-Beaufort, SC",0.2567210243229571,0.1414326444295275,0,0,0.0827487139841275,2.008277729554882e-5,35
26420,"Houston-Baytown-Sugar Land, TX",0.2939328292006477,0.15335866077328444,0.10663436351871851,0.09169118654365215,0.06348027422779849,0.0013491916232367623,1292
26580,"Huntington-Ashland, WV-KY-OH",0.25044705890023955,0.15422292477718386,0.1518775464216337,0.12292182416507044,0.0487127194061425,5.695904413800888e-5,326
26620,"Huntsville, AL",0.25472417314376916,0.16443827035255107,0.07796978797038315,0.0422667307186011,0.07520803529033375,8.994054432659196e-5,189
26820,"Idaho Falls, ID",0.4317116791299334,0.25898718745453175,0.03293536411327081,0.01001749319940234,0.11869761255694175,1.8063702789979e-5,87
26900,"Indianapolis, IN",0.2210331195406614,0.14961389839696373,0.11963246815846341,0.09291484267307452,0.03498368676796569,4.6289892530137453e-4,556
26980,"Iowa City, IA",0.26298817969638244,0.12554515745819195,0.08390718338223078,0.06081537367291339,0.010508293092653692,1.0716148946363821e-4,192
27100,"Jackson, MI",0.3172845883219243,0.16864115427825146,0.04791105872530005,0.04791105872530005,0.08933696410356586,5.7706695564008774e-5,60
27140,"Jackson, MS",0.3196531285300839,0.1915335133326717,0.15462803653891719,0.1495110406610935,0.09019985477557547,1.3464163656964412e-4,419
