occ,statecensus,Fraction of Workforce,description
3050,44,2e-6,Pharmacists
1640,44,0,Conservation scientists and foresters
2850,44,1e-6,Writers and authors
9310,44,0,Ship and boat captains and operators
5410,44,2e-6,Reservation and transportation ticket agents and travel clerks
3900,44,0,Animal control workers
6360,44,1e-6,Glaziers
2810,44,1e-6,"News analysts, reporters, and correspondents"
3649,44,2e-6,Phlebotmists
9510,44,3e-6,Crane and tower operators
4340,44,1e-6,Animal trainers
6040,44,2e-6,"Graders and sorters, agricultural products"
3955,44,3e-6,"Lifeguards and other recreational, and all other protective service workers"
2105,44,0,Judicial law clerks
2825,44,2e-6,Public relations specialists
6820,44,2e-6,"Earth drillers, except oil and gas"
5230,31,2.2e-5,"Credit authorizers, checkers, and clerks"
4640,31,7e-6,Residential advisors
6400,31,1e-5,Insulation workers
6300,31,2.1e-5,"Paving, surfacing, and tamping equipment operators"
5300,31,6e-6,"Hotel, motel, and resort desk clerks"
8410,31,1e-6,"Textile knitting and weaving machine setters, operators, and tenders"
3647,31,2e-6,Pharmacy aides
3900,31,1e-5,Animal control workers
4500,31,2.4e-5,Barbers
2825,31,2.2e-5,Public relations specialists
1360,73,1.6e-5,Civil engineers
8350,73,1.5e-5,"Tailors, dressmakers, and sewers"
0135,73,2e-6,Compensation and Benefits Managers
2145,73,2.5e-5,Paralegals and legal assistants
3955,73,3e-6,"Lifeguards and other recreational, and all other protective service workers"
2710,73,7e-6,Producers and directors
3620,73,9e-6,Physical therapist assistants and aides
2025,73,4e-6,"Miscellaneous community and social service specialists, including health educators and community health workers"
5260,73,8e-6,File clerks
5800,73,4e-6,Computer operators
3646,73,6e-6,Medical transcriptionists
7855,73,1.2e-5,"Food processing workers, all other"
1310,73,3e-6,"Surveyors, cartographers, and photogrammetrists"
7850,73,1e-6,Food cooking machine operators and tenders
0300,73,4e-6,Engineering managers
3230,92,1e-5,Speech-language pathologists
0137,92,2e-6,Training and Development Managers
0840,92,1e-5,Financial analysts
8610,92,4e-6,Stationary engineers and boiler operators
7950,92,5e-6,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
4740,92,7e-6,Counter and rental clerks
8760,92,7e-6,"Medical, dental, and ophthalmic laboratory technicians"
3260,92,8e-6,"Health diagnosing and treating practitioners, all other"
5820,92,1e-6,Word processors and typists
4900,92,5e-6,"Models, demonstrators, and product promoters"
2740,23,6e-6,Dancers and choreographers
3955,23,1.8e-5,"Lifeguards and other recreational, and all other protective service workers"
4950,23,1.7e-5,"Door-to-door sales workers, news and street vendors, and related workers"
8860,23,2e-6,"Cleaning, washing, and metal pickling equipment operators and tenders"
1005,23,1e-5,Computer and information research scientists
3520,23,1.4e-5,"Opticians, dispensing"
8730,23,1.3e-5,"Furnace, kiln, oven, drier, and kettle operators and tenders"
1240,23,2.6e-5,Miscellaneous mathematical science occupations
1910,23,4e-6,Biological technicians
5360,23,2e-5,"Human resources assistants, except payroll and timekeeping"
9630,23,1e-6,Machine feeders and offbearers
4530,15,3e-6,"Baggage porters, bellhops, and concierges"
2860,15,4e-6,Miscellaneous media and communications workers
5320,15,2e-6,"Library assistants, clerical"
8510,15,0,Furniture finishers
9030,15,2e-6,Aircraft pilots and flight engineers
0950,15,3e-6,"Financial specialists, all other"
0140,15,7e-6,Industrial production managers
1430,15,3e-6,"Industrial engineers, including health and safety"
0137,15,0,Training and Development Managers
9720,15,1e-6,Refuse and recyclable material collectors
1720,15,2e-6,Chemists and materials scientists
3230,15,6e-6,Speech-language pathologists
4540,57,4e-6,Tour and travel guides
5900,57,5e-6,"Office machine operators, except computer"
8460,57,3e-6,"Textile, apparel, and furnishings workers, all others"
8450,57,9e-6,Upholsterers
1860,57,6e-6,Miscellaneous social scientists and related workers
5320,57,6e-6,"Library assistants, clerical"
3955,57,1e-5,"Lifeguards and other recreational, and all other protective service workers"
1350,57,1e-5,Chemical engineers
9350,57,3e-6,Parking lot attendants
0040,57,8e-6,Advertising and promotions managers
5840,57,2.9e-5,Insurance claims and policy processing clerks
4400,45,1e-6,Gaming services workers
6530,45,1e-6,Solar Photovoltaic Installers
5910,45,0,Proofreaders and copy markers
6600,45,0,"Helpers, construction trades"
7900,45,4e-6,Computer control programmers and operators
8860,45,0,"Cleaning, washing, and metal pickling equipment operators and tenders"
0860,45,1e-6,Insurance underwriters
3400,45,2e-6,Emergency medical technicians and paramedics
5810,45,3e-6,Data entry keyers
1360,45,5e-6,Civil engineers
3010,45,6e-6,Dentists
7630,45,2e-6,"Other installation, maintenance, and repair workers"
4465,45,1e-6,"Morticians, undertakers, and funeral directors (2011 forward)"
8540,45,1e-6,"Woodworking machine setters, operators, and tenders, except sawing"
9630,45,1e-6,Machine feeders and offbearers
4120,62,1.9e-5,"Food servers, nonrestaurant"
3910,62,1.6e-5,Private detectives and investigators
0600,62,1.9e-5,Cost estimators
5250,62,1.4e-5,"Eligibility interviewers, government programs"
6530,62,2e-6,Solar Photovoltaic Installers
6720,62,4e-6,Hazardous materials removal workers
3140,62,3e-6,Audiologists
5900,62,3e-6,"Office machine operators, except computer"
5140,62,5e-6,Payroll and timekeeping clerks
7510,62,1e-5,"Coin, vending, and amusement machine servicers and repairers"
9040,62,6e-6,Air traffic controllers and airfield operations specialists
2800,74,1.6e-5,Announcers
7950,74,2.5e-5,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0640,74,1.8e-5,"Compensation, benefits, and job analysis specialists"
1440,74,5e-6,Marine engineers and naval architects
8730,74,3e-6,"Furnace, kiln, oven, drier, and kettle operators and tenders"
0060,87,6e-6,Public relations managers
3750,87,3e-6,Fire inspectors
2830,87,5e-6,Editors
2700,87,3e-6,Actors
2920,87,6e-6,"Television, video, and motion picture camera operators and editors"
3110,87,5e-6,Physician assistants
2040,87,5e-6,Clergy
9410,87,5e-6,Transportation inspectors
9630,13,1e-6,Machine feeders and offbearers
0830,13,0,Credit analysts
8630,13,0,Miscellaneous plant and system operators
0060,13,1e-6,Public relations managers
3110,13,2e-6,Physician assistants
0540,13,1e-6,"Claims adjusters, appraisers, examiners, and investigators"
2760,13,1e-6,"Entertainers and performers, sports and related workers, all other"
2040,13,3e-6,Clergy
6300,13,1e-6,"Paving, surfacing, and tamping equipment operators"
7800,54,4.3e-5,Bakers
1650,54,4e-6,Medical scientists
9310,54,9e-6,Ship and boat captains and operators
7260,54,3e-6,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
3710,54,6e-6,First-line supervisors/managers of police and detectives
8310,54,8e-6,"Pressers, textile, garment, and related materials"
6300,54,4e-6,"Paving, surfacing, and tamping equipment operators"
8640,54,4e-6,"Chemical processing machine setters, operators, and tenders"
8300,54,1.3e-5,Laundry and dry-cleaning workers
3030,91,1.4e-5,Dietitians and nutritionists
8550,91,4e-6,"Woodworkers, all others"
5020,91,8e-6,Telephone operators
3535,91,1.2e-5,Miscellaneous health technologists and technicians
6330,91,4.4e-5,"Drywall installers, ceiling tile installers, and tapers"
6520,91,2.6e-5,Sheet metal workers
4940,91,7e-6,Telemarketers
4240,91,9e-6,Pest control workers
1450,91,1.2e-5,Materials engineers
3040,91,3e-6,Optometrists
6940,91,2e-6,Other extraction workers
3945,91,1.1e-5,Transportation security screeners
5320,91,1.6e-5,"Library assistants, clerical"
8930,55,1e-6,"Paper goods machine setters, operators, and tenders"
5010,55,0,"Switchboard operators, including answering service"
3010,55,2e-6,Dentists
4540,55,1e-6,Tour and travel guides
8530,55,2e-6,"Sawing machine setters, operators, and tenders, wood"
5250,55,2e-6,"Eligibility interviewers, government programs"
0740,55,6e-6,"Business operations specialists, all other"
1400,55,2e-6,Computer hardware engineers
5910,55,0,Proofreaders and copy markers
6530,55,2e-6,Solar Photovoltaic Installers
9410,55,1e-6,Transportation inspectors
5800,35,5e-6,Computer operators
3955,35,1.6e-5,"Lifeguards and other recreational, and all other protective service workers"
8250,35,4e-6,Prepress technicians and workers
8460,35,9e-6,"Textile, apparel, and furnishings workers, all others"
9415,35,4e-6,"Transportation attendants, except flight attendants"
4930,35,1e-6,Sales engineers
9150,35,4e-6,"Motor vehicle operators, all other"
6710,35,4e-6,Fence erectors
5820,35,3e-6,Word processors and typists
6250,35,6e-6,"Cement masons, concrete finishers, and terrazzo workers"
3700,35,1e-5,First-line supervisors/managers of correctional officers
2800,35,1e-6,Announcers
4300,35,1.3e-5,First-line supervisors/managers of gaming workers
2810,83,2e-6,"News analysts, reporters, and correspondents"
3245,83,2e-6,"Therapists, all other"
5920,83,0,Statistical assistants
0700,83,1e-6,Logisticians
1760,83,0,"Physical scientists, all other"
9150,83,1e-6,"Motor vehicle operators, all other"
5530,83,0,"Meter readers, utilities"
3649,83,3e-6,Phlebotmists
1820,83,1e-6,Psychologists
4060,83,1e-6,"Counter attendants, cafeteria, food concession, and coffee shop"
6100,83,0,Fishers and related fishing workers
0950,83,0,"Financial specialists, all other"
1860,63,1e-6,Miscellaneous social scientists and related workers
3648,63,4e-6,Veterinary assistants and labratory animal caretakers
6360,63,9e-6,Glaziers
4430,63,1.2e-5,Miscellaneous entertainment attendants and related workers
8250,63,1e-6,Prepress technicians and workers
5150,63,2e-6,Procurement clerks
6400,63,4e-6,Insulation workers
2860,63,7e-6,Miscellaneous media and communications workers
5910,63,3e-6,Proofreaders and copy markers
6720,63,6e-6,Hazardous materials removal workers
5410,63,4e-6,Reservation and transportation ticket agents and travel clerks
7040,63,2e-6,"Electric motor, power tool, and related repairers"
2800,63,2e-6,Announcers
8410,94,0,"Textile knitting and weaving machine setters, operators, and tenders"
8300,94,4e-6,Laundry and dry-cleaning workers
4820,94,1e-6,"Securities, commodities, and financial services sales agents"
9050,94,2e-6,Flight attendants
9200,94,0,Locomotive engineers and operators
6515,94,2e-6,Roofers
8220,94,1e-6,"Metalworkers and plastic workers,all others"
7840,94,2e-6,Food batchmakers
3620,94,1e-6,Physical therapist assistants and aides
0600,94,1e-6,Cost estimators
0810,86,6e-6,Appraisers and assessors of real estate
1650,86,2e-5,Medical scientists
7855,86,3e-6,"Food processing workers, all other"
4940,86,7e-6,Telemarketers
1220,86,1.3e-5,Operations research analysts
1007,86,1.1e-5,Information security analysts
6530,86,7e-6,Solar Photovoltaic Installers
5230,86,1.3e-5,"Credit authorizers, checkers, and clerks"
9030,86,1.6e-5,Aircraft pilots and flight engineers
1840,86,1e-6,Urban and regional planners
8500,86,1e-5,Cabinetmakers and bench carpenters
3720,71,2e-6,First-line supervisors/managers of fire fighting and preventions workers
0330,71,1e-6,Gaming managers
7360,71,7e-6,Millwrights
0565,71,1.5e-5,Compliance officers
7430,71,2e-6,Precision instrument and equipment repairers
5330,93,6e-5,Loan interviewers and clerks
8530,93,4e-6,"Sawing machine setters, operators, and tenders, wood"
4650,84,1.5e-5,"Personal care and service workers, all other"
3258,84,1.6e-5,Nurse practitioners
6005,84,7e-6,"First-line supervisors of farming, fishing, and forestry workers"
0330,84,9e-6,Gaming managers
1220,84,1.4e-5,Operations research analysts
1240,16,6e-6,Miscellaneous mathematical science occupations
8810,16,3e-6,Painting workers
5560,16,4e-6,"Postal service mail sorters, processors, and processing machine operators"
1600,16,6e-6,Agricultural and food scientists
9360,16,4e-6,Service station attendants
1460,51,4e-6,Mechanical engineers
0900,51,2e-6,Financial examiners
1930,51,1e-6,Geological and petroleum technicians
4930,51,0,Sales engineers
5250,51,0,"Eligibility interviewers, government programs"
1400,51,0,Computer hardware engineers
2550,51,4e-6,"Other education, training, and library workers"
0940,51,1e-6,Tax preparers
8030,51,1e-6,Machinists
2910,51,3e-6,Photographers
0137,51,1e-6,Training and Development Managers
1340,53,0,Biomedical engineers
5360,58,1.2e-5,"Human resources assistants, except payroll and timekeeping"
2025,58,1.7e-5,"Miscellaneous community and social service specialists, including health educators and community health workers"
2440,58,3e-6,Library technicians
6720,58,1.3e-5,Hazardous materials removal workers
5150,58,9e-6,Procurement clerks
3535,58,1.5e-5,Miscellaneous health technologists and technicians
1540,58,1.4e-5,Drafters
8750,58,1e-5,Jewelers and precious stone and metal workers
0930,58,7e-6,"Tax examiners, collectors, and revenue agents"
6250,58,1.5e-5,"Cement masons, concrete finishers, and terrazzo workers"
3260,95,2e-6,"Health diagnosing and treating practitioners, all other"
1430,95,1e-6,"Industrial engineers, including health and safety"
1340,95,0,Biomedical engineers
2900,95,3e-6,Broadcast and sound engineering technicians and radio operators
3400,95,3e-6,Emergency medical technicians and paramedics
5350,95,1e-6,Order clerks
7315,95,9e-6,"Heating, air conditioning, and refrigeration mechanics and installers"
9410,95,1e-6,Transportation inspectors
1400,95,1e-6,Computer hardware engineers
1060,95,1e-6,Database administrators
1600,95,3e-6,Agricultural and food scientists
1560,95,5e-6,Surveying and mapping technicians
1920,95,1e-6,Chemical technicians
7630,95,5e-6,"Other installation, maintenance, and repair workers"
0725,95,2e-6,"Meeting, convention, and event planners"
7900,82,1e-6,Computer control programmers and operators
2400,82,1e-6,"Archivists, curators, and museum technicians"
6460,82,0,Plasterers and stucco masons
1720,82,2e-6,Chemists and materials scientists
9240,82,1e-6,Railroad conductors and yardmasters
6940,82,1e-6,Other extraction workers
3520,82,1e-6,"Opticians, dispensing"
8000,82,1e-6,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
4420,82,1e-6,"Ushers, lobby attendants, and ticket takers"
7100,82,1e-6,"Electrical and electronics repairers, industrial and utility"
1640,82,3e-6,Conservation scientists and foresters
6300,82,2e-6,"Paving, surfacing, and tamping equipment operators"
7430,82,3e-6,Precision instrument and equipment repairers
8255,82,4e-6,Printing machine operators
5910,82,2e-6,Proofreaders and copy markers
9350,82,3e-6,Parking lot attendants
9150,82,1e-6,"Motor vehicle operators, all other"
7320,33,1.1e-5,Home appliance repairers
7240,33,6e-6,Small engine mechanics
3220,33,1.3e-5,Respiratory therapists
0930,33,6e-6,"Tax examiners, collectors, and revenue agents"
6840,33,7e-6,Mining machine operators
5220,33,7e-6,"Court, municipal, and license clerks"
0725,32,6e-6,"Meeting, convention, and event planners"
0340,32,1.2e-5,Lodging managers
4900,32,9e-6,"Models, demonstrators, and product promoters"
4740,32,9e-6,Counter and rental clerks
9040,32,7e-6,Air traffic controllers and airfield operations specialists
1900,32,5e-6,Agricultural and food science technicians
3000,32,6e-6,Chiropractors
8130,32,9e-6,Tool and die makers
3210,32,1e-6,Recreational therapists
6765,32,5e-6,Miscellaneous construction and related workers
8760,32,1e-5,"Medical, dental, and ophthalmic laboratory technicians"
7920,32,8e-6,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
1820,32,1.3e-5,Psychologists
1860,42,3e-6,Miscellaneous social scientists and related workers
3820,42,6e-6,Detectives and criminal investigators
7940,42,1e-5,"Rolling machine setters, operators, and tenders, metal and plastic"
3000,42,2e-6,Chiropractors
9200,42,2e-6,Locomotive engineers and operators
8620,42,2e-6,Water and liquid waste treatment plant and system operators
7240,42,3e-6,Small engine mechanics
8320,42,1e-6,Sewing machine operators
6300,42,2e-6,"Paving, surfacing, and tamping equipment operators"
8750,47,2e-6,Jewelers and precious stone and metal workers
9240,47,4e-6,Railroad conductors and yardmasters
6765,47,2e-6,Miscellaneous construction and related workers
9630,47,1e-6,Machine feeders and offbearers
5230,47,6e-6,"Credit authorizers, checkers, and clerks"
6750,47,4e-6,Septic tank servicers and sewer pipe cleaners
7040,47,0,"Electric motor, power tool, and related repairers"
3245,47,1.3e-5,"Therapists, all other"
7030,47,6e-6,Avionics technicians
6840,47,3e-6,Mining machine operators
4460,47,2e-6,Funeral service workers 
7410,47,6e-6,Electrical power-line installers and repairers
7260,47,3e-6,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
5320,47,5e-6,"Library assistants, clerical"
8760,61,8e-6,"Medical, dental, and ophthalmic laboratory technicians"
3940,61,4e-6,Crossing guards
3910,61,4e-6,Private detectives and investigators
3110,61,3e-6,Physician assistants
7740,61,1e-6,Structural metal fabricators and fitters
4420,61,3e-6,"Ushers, lobby attendants, and ticket takers"
2850,61,1e-6,Writers and authors
5530,61,2e-6,"Meter readers, utilities"
8330,61,2e-6,Shoe and leather workers and repairers
1450,61,2e-6,Materials engineers
5320,61,9e-6,"Library assistants, clerical"
9630,72,0,Machine feeders and offbearers
1240,72,5e-6,Miscellaneous mathematical science occupations
4460,72,4e-6,Funeral service workers 
8450,72,4e-6,Upholsterers
2400,11,1e-6,"Archivists, curators, and museum technicians"
1006,11,8e-6,Computer systems analysts
4540,11,2e-6,Tour and travel guides
8330,11,0,Shoe and leather workers and repairers
7320,11,1e-6,Home appliance repairers
8710,11,1e-6,Cutting workers
4750,11,3e-6,Parts salespersons
1965,11,1e-6,"Miscellaneous life, physical, and social science technicians"
4640,11,3e-6,Residential advisors
8450,11,2e-6,Upholsterers
3910,11,1e-6,Private detectives and investigators
8100,11,0,"Molders and molding machine setters, operators, and tenders, metal and plastic"
0860,52,4e-6,Insurance underwriters
3646,52,4e-6,Medical transcriptionists
3610,52,1.1e-5,Occupational therapist assistants and aides
8640,52,3e-6,"Chemical processing machine setters, operators, and tenders"
7130,52,1.2e-5,Security and fire alarm systems installers
0950,52,1.1e-5,"Financial specialists, all other"
8620,52,3e-6,Water and liquid waste treatment plant and system operators
0137,52,3e-6,Training and Development Managers
6100,52,6e-6,Fishers and related fishing workers
1710,14,3e-6,Atmospheric and space scientists
1510,14,2e-6,Nuclear engineers
3520,14,2e-6,"Opticians, dispensing"
7740,14,3e-6,Structural metal fabricators and fitters
1220,14,1.9e-5,Operations research analysts
7950,14,1.1e-5,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
3730,14,3e-6,"Supervisors, protective service workers, all other"
1560,14,8e-6,Surveying and mapping technicians
5360,14,5e-6,"Human resources assistants, except payroll and timekeeping"
2800,14,7e-6,Announcers
7430,34,1.2e-5,Precision instrument and equipment repairers
8310,34,3e-6,"Pressers, textile, garment, and related materials"
1800,34,4e-6,Economists
0060,34,3e-6,Public relations managers
3940,34,1e-5,Crossing guards
3750,34,3e-6,Fire inspectors
7830,34,3e-6,"Food and tobacco roasting, baking, and drying machine operators and tenders"
2800,34,1.7e-5,Announcers
4240,34,1e-5,Pest control workers
9840,34,5e-6,Armed forces
2860,34,1e-5,Miscellaneous media and communications workers
2740,34,8e-6,Dancers and choreographers
0726,34,9e-6,Fundraisers
2900,34,1.3e-5,Broadcast and sound engineering technicians and radio operators
7150,34,3.2e-5,Automotive body and related repairers
0830,41,4e-6,Credit analysts
2025,41,1.2e-5,"Miscellaneous community and social service specialists, including health educators and community health workers"
8950,41,3e-6,Helpers--production workers
9420,41,9e-6,Other transportation workers
8256,41,1e-5,Print binding and finishing workers
2760,41,4e-6,"Entertainers and performers, sports and related workers, all other"
8640,41,1.3e-5,"Chemical processing machine setters, operators, and tenders"
9610,41,2.3e-5,Cleaners of vehicles and equipment
3649,41,1e-6,Phlebotmists
6600,41,7e-6,"Helpers, construction trades"
7240,41,5e-6,Small engine mechanics
7800,41,2.1e-5,Bakers
2825,64,4e-6,Public relations specialists
3647,64,4e-6,Pharmacy aides
3210,64,3e-6,Recreational therapists
2700,64,0,Actors
3040,64,1e-6,Optometrists
3648,64,3e-6,Veterinary assistants and labratory animal caretakers
7510,64,3e-6,"Coin, vending, and amusement machine servicers and repairers"
8450,64,6e-6,Upholsterers
4420,64,3e-6,"Ushers, lobby attendants, and ticket takers"
6530,43,8e-6,Solar Photovoltaic Installers
1420,43,1.2e-5,Environmental engineers
9510,43,1.5e-5,Crane and tower operators
1860,43,6e-6,Miscellaneous social scientists and related workers
1650,43,1.2e-5,Medical scientists
5230,43,6e-6,"Credit authorizers, checkers, and clerks"
7830,43,1e-6,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7100,81,1e-6,"Electrical and electronics repairers, industrial and utility"
8620,81,1e-6,Water and liquid waste treatment plant and system operators
6720,81,0,Hazardous materials removal workers
8950,81,1e-6,Helpers--production workers
1600,81,1e-6,Agricultural and food scientists
6500,81,1e-6,Reinforcing iron and rebar workers
5360,81,0,"Human resources assistants, except payroll and timekeeping"
1350,81,1e-6,Chemical engineers
8250,81,0,Prepress technicians and workers
3230,81,1e-6,Speech-language pathologists
0040,81,1e-6,Advertising and promotions managers
5310,81,2e-6,"Interviewers, except eligibility and loan"
5165,81,1e-6,"Financial clerks, all other"
8760,46,3e-6,"Medical, dental, and ophthalmic laboratory technicians"
4820,46,4e-6,"Securities, commodities, and financial services sales agents"
7000,46,1.1e-5,"First-line supervisors/managers of mechanics, installers, and repairers"
4750,46,6e-6,Parts salespersons
3900,46,1e-6,Animal control workers
0930,46,1e-6,"Tax examiners, collectors, and revenue agents"
5420,46,1e-6,"Information and record clerks, all other"
6250,46,2e-6,"Cement masons, concrete finishers, and terrazzo workers"
8860,46,1e-6,"Cleaning, washing, and metal pickling equipment operators and tenders"
6100,88,5e-6,Fishers and related fishing workers
1920,88,3e-6,Chemical technicians
2830,88,3e-6,Editors
5250,88,7e-6,"Eligibility interviewers, government programs"
4420,88,5e-6,"Ushers, lobby attendants, and ticket takers"
9310,88,1e-6,Ship and boat captains and operators
4740,88,4e-6,Counter and rental clerks
7720,88,3e-6,"Electrical, electronics, and electromechanical assemblers"
7560,88,5e-6,Riggers
8650,88,2e-6,"Crushing, grinding, polishing, mixing, and blending workers"
8830,12,0,Photographic process workers and processing machine operators
2800,12,1e-6,Announcers
5310,12,2e-6,"Interviewers, except eligibility and loan"
0500,12,3e-6,"Agents and business managers of artists, performers, and athletes"
2920,12,1e-6,"Television, video, and motion picture camera operators and editors"
8750,12,4e-6,Jewelers and precious stone and metal workers
5165,12,1e-6,"Financial clerks, all other"
9630,12,1e-6,Machine feeders and offbearers
5910,12,2e-6,Proofreaders and copy markers
7550,12,0,Manufactured building and mobile home installers
7120,12,1e-6,Electronic home entertainment equipment installers and repairers
7840,12,2e-6,Food batchmakers
3540,22,2e-5,Other healthcare practitioners and technical occupations
4930,22,7e-6,Sales engineers
4640,22,6e-6,Residential advisors
8650,22,7e-6,"Crushing, grinding, polishing, mixing, and blending workers"
7430,22,7e-6,Precision instrument and equipment repairers
1320,22,2e-6,Aerospace engineers
3200,22,2e-6,Radiation therapists
2900,22,6e-6,Broadcast and sound engineering technicians and radio operators
0330,22,7e-6,Gaming managers
5300,22,1.6e-5,"Hotel, motel, and resort desk clerks"
9520,22,6e-6,"Dredge, excavating, and loading machine operators"
5100,85,3e-6,Bill and account collectors
5030,85,1e-6,"Communications equipment operators, all other"
8620,85,5e-6,Water and liquid waste treatment plant and system operators
7160,85,2e-6,Automotive glass installers and repairers
2800,85,2e-6,Announcers
2025,85,8e-6,"Miscellaneous community and social service specialists, including health educators and community health workers"
1400,85,4e-6,Computer hardware engineers
9360,85,4e-6,Service station attendants
6130,85,1e-6,Logging workers
3647,85,3e-6,Pharmacy aides
9300,85,1e-6,Sailors and marine oilers
8640,85,3e-6,"Chemical processing machine setters, operators, and tenders"
8920,85,1e-6,"Molders, shapers, and casters, except metal and plastic"
1430,85,3e-6,"Industrial engineers, including health and safety"
3030,85,1e-6,Dietitians and nutritionists
1500,85,1e-6,"Mining and geological engineers, including mining safety engineers"
6005,85,3e-6,"First-line supervisors of farming, fishing, and forestry workers"
1910,85,3e-6,Biological technicians
7110,85,0,"Electronic equipment installers and repairers, motor vehicles"
2830,85,2e-6,Editors
3945,85,1e-6,Transportation security screeners
2900,85,1e-6,Broadcast and sound engineering technicians and radio operators
7510,21,1.1e-5,"Coin, vending, and amusement machine servicers and repairers"
3150,21,2.3e-5,Occupational therapists
8500,21,2.1e-5,Cabinetmakers and bench carpenters
1600,21,2e-6,Agricultural and food scientists
6300,21,9e-6,"Paving, surfacing, and tamping equipment operators"
6005,21,1.8e-5,"First-line supervisors of farming, fishing, and forestry workers"
7130,56,1.8e-5,Security and fire alarm systems installers
0726,56,1.5e-5,Fundraisers
0040,56,5e-6,Advertising and promotions managers
8910,56,1e-6,Etchers and engravers
8010,56,3e-6,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
9650,56,1e-6,Pumping station operators
1060,56,2.4e-5,Database administrators
6840,56,1.3e-5,Mining machine operators
6750,56,1e-6,Septic tank servicers and sewer pipe cleaners
3000,56,4e-6,Chiropractors
3210,56,1.1e-5,Recreational therapists
3220,56,4e-6,Respiratory therapists
3630,44,3e-6,Massage therapists
1910,44,1e-6,Biological technicians
3840,44,0,Parking enforcement workers
2840,44,1e-6,Technical writers
3910,44,2e-6,Private detectives and investigators
8300,31,2.7e-5,Laundry and dry-cleaning workers
5340,31,8e-6,New accounts clerks
0500,31,1e-5,"Agents and business managers of artists, performers, and athletes"
2900,31,2.2e-5,Broadcast and sound engineering technicians and radio operators
6710,31,1e-5,Fence erectors
4830,31,5e-6,Travel agents
5820,31,1.1e-5,Word processors and typists
0510,31,4e-6,"Purchasing agents and buyers, farm products"
1520,31,1.2e-5,Petroleum engineers
0330,73,7e-6,Gaming managers
6500,73,0,Reinforcing iron and rebar workers
1220,73,6e-6,Operations research analysts
8600,73,3e-6,"Power plant operators, distributors, and dispatchers"
2910,92,1.2e-5,Photographers
9050,92,9e-6,Flight attendants
8320,92,1e-5,Sewing machine operators
1800,92,3e-6,Economists
6210,92,1e-6,Boilermakers
8500,92,3e-6,Cabinetmakers and bench carpenters
6530,92,7e-6,Solar Photovoltaic Installers
1420,92,5e-6,Environmental engineers
8650,92,1.3e-5,"Crushing, grinding, polishing, mixing, and blending workers"
7840,92,8e-6,Food batchmakers
0950,23,1.1e-5,"Financial specialists, all other"
9350,23,1.5e-5,Parking lot attendants
9840,23,1e-6,Armed forces
3730,23,2.6e-5,"Supervisors, protective service workers, all other"
5800,23,6e-6,Computer operators
6940,23,1.2e-5,Other extraction workers
7920,23,8e-6,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
8010,15,1e-6,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"
4750,15,2e-6,Parts salespersons
8000,15,1e-6,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
8550,15,1e-6,"Woodworkers, all others"
5020,15,1e-6,Telephone operators
7900,15,2e-6,Computer control programmers and operators
0940,15,5e-6,Tax preparers
1440,15,3e-6,Marine engineers and naval architects
9650,15,2e-6,Pumping station operators
3955,15,3e-6,"Lifeguards and other recreational, and all other protective service workers"
3260,15,2e-6,"Health diagnosing and treating practitioners, all other"
4940,15,0,Telemarketers
0330,57,2e-6,Gaming managers
6700,57,3e-6,Elevator installers and repairers
4640,57,1e-6,Residential advisors
3030,57,1.7e-5,Dietitians and nutritionists
3710,57,1.2e-5,First-line supervisors/managers of police and detectives
1820,57,2.1e-5,Psychologists
8930,57,2e-6,"Paper goods machine setters, operators, and tenders"
7100,57,3e-6,"Electrical and electronics repairers, industrial and utility"
9000,57,1.2e-5,"Supervisors, transportation and material moving workers"
9200,57,4e-6,Locomotive engineers and operators
3646,57,5e-6,Medical transcriptionists
3310,57,2.6e-5,Dental hygienists
4240,57,8e-6,Pest control workers
0900,57,3e-6,Financial examiners
8950,45,2e-6,Helpers--production workers
3150,45,1e-6,Occupational therapists
6730,45,8e-6,Highway maintenance workers
1710,45,1e-6,Atmospheric and space scientists
2825,45,0,Public relations specialists
0136,45,3e-6,Human Resources Managers
5260,45,3e-6,File clerks
7740,45,1e-6,Structural metal fabricators and fitters
2710,45,4e-6,Producers and directors
5165,45,1e-6,"Financial clerks, all other"
2830,45,0,Editors
6830,45,0,"Explosives workers, ordnance handling experts, and blasters"
1650,45,5e-6,Medical scientists
5220,62,1.2e-5,"Court, municipal, and license clerks"
1450,62,2e-6,Materials engineers
3940,62,6e-6,Crossing guards
9420,62,5e-6,Other transportation workers
7240,62,3e-6,Small engine mechanics
4640,62,2e-6,Residential advisors
2800,62,1.1e-5,Announcers
