occ,statecensus,Fraction of Workforce,description
2550,94,2e-6,"Other education, training, and library workers"
5160,94,7e-6,Tellers
0520,94,2e-6,"Wholesale and retail buyers, except farm products"
1760,94,2e-6,"Physical scientists, all other"
0100,94,5e-6,Administrative services managers
5940,94,9e-6,"Office and administrative support workers, all other"
9420,94,2e-6,Other transportation workers
4620,94,4e-6,Recreation and fitness workers
7700,94,4e-6,First-line supervisors/managers of production and operating workers
3420,94,1.2e-5,Health practitioner support technologists and technicians 
8630,94,2e-6,Miscellaneous plant and system operators
4540,94,5e-6,Tour and travel guides
4740,94,3e-6,Counter and rental clerks
3520,94,1e-6,"Opticians, dispensing"
5500,94,1e-6,Cargo and freight agents
5260,94,3e-6,File clerks
3649,94,1e-6,Phlebotmists
9310,94,2e-6,Ship and boat captains and operators
3940,94,2e-6,Crossing guards
8740,94,4e-6,"Inspectors, testers, sorters, samplers, and weighers"
2016,94,8e-6,Social and human service assistants
2630,94,8e-6,Designers
1310,94,2e-6,"Surveyors, cartographers, and photogrammetrists"
3500,94,4e-6,Licensed practical and licensed vocational nurses
9510,94,1e-6,Crane and tower operators
4050,94,7e-6,"Combined food preparation and serving workers, including fast food"
5540,94,2e-6,Postal service clerks
7855,94,2e-6,"Food processing workers, all other"
5410,94,5e-6,Reservation and transportation ticket agents and travel clerks
3800,94,9e-6,"Bailiffs, correctional officers, and jailers"
6100,94,2.6e-5,Fishers and related fishing workers
6120,94,1e-6,Forest and conservation workers
0340,94,6e-6,Lodging managers
7800,94,6e-6,Bakers
3730,94,2e-6,"Supervisors, protective service workers, all other"
1710,94,1e-6,Atmospheric and space scientists
4640,94,3e-6,Residential advisors
5310,94,3e-6,"Interviewers, except eligibility and loan"
7810,94,6e-6,"Butchers and other meat, poultry, and fish processing workers"
4300,94,1e-6,First-line supervisors/managers of gaming workers
4950,94,4e-6,"Door-to-door sales workers, news and street vendors, and related workers"
0150,94,5e-6,Purchasing managers
8600,94,2e-6,"Power plant operators, distributors, and dispatchers"
4010,86,6.5e-5,First-line supervisors/managers of food preparation and serving workers
7300,86,7e-6,Control and valve installers and repairers
4510,86,1.19e-4,"Hairdressers, hairstylists, and cosmetologists"
3420,86,1.11e-4,Health practitioner support technologists and technicians 
3800,86,5.6e-5,"Bailiffs, correctional officers, and jailers"
3700,86,1e-6,First-line supervisors/managers of correctional officers
5700,86,2.86e-4,Secretaries and administrative assistants
4250,86,2.05e-4,Grounds maintenance workers
5110,86,8.9e-5,Billing and posting clerks and machine operators
4610,86,3.2e-4,Personal and home care aides
6420,86,9.8e-5,"Painters, construction and maintenance"
5850,86,5e-6,"Mail clerks and mail machine operators, except postal service"
4030,86,1.93e-4,Food preparation workers
8740,86,1.02e-4,"Inspectors, testers, sorters, samplers, and weighers"
3255,86,4.31e-4,Registered nurses
1030,86,2.9e-5,Web developers
5240,86,5.75e-4,Customer service representatives
6355,86,1.19e-4,Electricians
4760,86,3.9e-4,Retail salespersons
4710,86,1.65e-4,First-line supervisors/managers of non-retail sales workers
2016,86,4.9e-5,Social and human service assistants
5860,86,1.99e-4,"Office clerks, general"
4040,86,8.7e-5,Bartenders
9130,86,4.25e-4,Driver/sales workers and truck drivers
2000,86,1.17e-4,Counselors
0710,86,1.37e-4,Management analysts
1200,86,6e-6,Actuaries
0050,86,1.74e-4,Marketing and sales managers
4850,86,1.71e-4,"Sales representatives, wholesale and manufacturing"
5810,86,3e-5,Data entry keyers
1107,86,1.05e-4,"Computer occupations, all other"
5620,86,2.28e-4,Stock clerks and order fillers
2310,86,3.69e-4,Elementary and middle school teachers
2100,86,1.47e-4,"Lawyers, Judges, magistrates, and other judicial workers"
6330,86,3.6e-5,"Drywall installers, ceiling tile installers, and tapers"
1540,86,1.5e-5,Drafters
5400,86,2.05e-4,Receptionists and information clerks
4110,86,2.88e-4,Waiters and waitresses
0700,86,1.7e-5,Logisticians
4840,86,1.18e-4,"Sales representatives, services, all other"
0010,86,1.79e-4,Chief executives
0310,86,1.74e-4,Food service managers
2015,86,3.3e-5,Probation officers and correctional treatment specialists
6200,86,6.3e-5,First-line supervisors/managers of construction trades and extraction workers
4965,86,4.5e-5,"Sales and related workers, all other"
5160,86,2.4e-5,Tellers
4720,86,4.06e-4,Cashiers
2860,86,3.5e-5,Miscellaneous media and communications workers
7950,86,2e-6,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
0020,86,1.34e-4,General and operations managers
0740,86,3.3e-5,"Business operations specialists, all other"
3930,86,1.82e-4,Security guards and gaming surveillance officers
3510,86,3.3e-5,Medical records and health information technicians
1550,86,8.4e-5,"Engineering technicians, except drafters"
2330,86,2.9e-5,Special education teachers
0430,86,6.29e-4,"Managers, all other"
1020,86,2.25e-4,"Software developers, applications and systems software"
0120,86,1.59e-4,Financial managers
8140,86,7e-5,"Welding, soldering, and brazing workers"
4920,86,2.2e-4,Real estate brokers and sales agents
0800,86,2.41e-4,Accountants and auditors
1105,86,5.2e-5,Network and computer systems administrators
2340,86,1.14e-4,Other teachers and instructors
1050,86,1.08e-4,Computer support specialists
1760,86,1.9e-5,"Physical scientists, all other"
4020,86,2.69e-4,Cooks
4350,86,1.2e-5,Nonfarm animal caretakers
6460,86,2.5e-5,Plasterers and stucco masons
5120,86,1.91e-4,"Bookkeeping, accounting, and auditing clerks"
2320,86,7.3e-5,Secondary school teachers
7700,86,7.6e-5,First-line supervisors/managers of production and operating workers
4220,86,3.12e-4,Janitors and building cleaners
4700,86,4.31e-4,First-line supervisors/managers of retail sales workers
5610,86,4.2e-5,"Shipping, receiving, and traffic clerks"
3750,86,9e-6,Fire inspectors
0150,86,1.8e-5,Purchasing managers
6240,86,4.2e-5,"Carpet, floor, and tile installers and finishers"
3600,86,1.22e-4,"Nursing, psychiatric, and home health aides"
4950,86,7e-6,"Door-to-door sales workers, news and street vendors, and related workers"
2430,86,1.6e-5,Librarians
5350,86,1.5e-5,Order clerks
4650,86,4.2e-5,"Personal care and service workers, all other"
0230,86,1.32e-4,Education administrators
0110,86,1.11e-4,Computer and information systems managers
4810,86,7.2e-5,Insurance sales agents
0350,86,1.06e-4,Medical and health services managers
9600,86,5.9e-5,Industrial truck and tractor operators
6520,86,2.9e-5,Sheet metal workers
9610,86,5.8e-5,Cleaners of vehicles and equipment
3910,86,2.1e-5,Private detectives and investigators
5520,86,5e-5,Dispatchers
0160,86,4.3e-5,"Transportation, storage, and distribution managers"
0500,86,4e-6,"Agents and business managers of artists, performers, and athletes"
3030,86,1e-5,Dietitians and nutritionists
1710,86,1e-6,Atmospheric and space scientists
4230,86,2.67e-4,Maids and housekeeping cleaners
6260,86,2.9e-4,Construction laborers
3850,86,1.02e-4,Police and sheriff's patrol officers
3220,86,9e-6,Respiratory therapists
